Algorithm,Mean,Std
TD3-BC,-0.3267989158630371,0.004818584589963195
CQL,-0.010042104870080948,0.04005838617421217
Ensemble,0.031532944490512214,0.006913819588373723
BEAR,-1.549780289332072,5.6195798014525375e-08
UWAC,0.028422218436996143,0.006318721574125795
MOPO,0.022304342438777287,0.0014068349730296025
APTQ-CQL,1.0464950799942017,0.054347935921295686
